datatypes-match-1/ob01	unsat
datatypes-match-1/ob02	unsat
datatypes-match-1/ob03	unknown
datatypes-match-1/ob04	unsat
datatypes-match-1/ob05	unsat
datatypes-match-1/ob06	unsat
datatypes-match-1/ob07	unsat
datatypes-match-1/ob08	unsat
datatypes-match-1/ob09	unsat
datatypes-match-1/ob10	unsat
datatypes-match-1/ob11	unsat
datatypes-match-2/ob01	unsat
datatypes-match-2/ob02	unsat
datatypes-match-2/ob03	timeout
datatypes-match-2/ob04	unsat
datatypes-match-2/ob05	timeout
datatypes-match-2/ob06	unsat
datatypes-match-2/ob07	unsat
datatypes-match-2/ob08	unsat
datatypes-match-2/ob09	unsat
datatypes-match-3/ob01	unsat
datatypes-match-3/ob02	unsat
datatypes-match-3/ob03	unsat
datatypes-match-3/ob04	unsat
datatypes-match-3/ob05	timeout
datatypes-match-3/ob06	unsat
datatypes-match-3/ob07	timeout
datatypes-match-3/ob08	unsat
datatypes-match-3/ob09	timeout
datatypes-match-3/ob10	unsat
datatypes-match-3/ob11	unsat
datatypes-match-3/ob12	unsat
datatypes-match-3/ob13	timeout
datatypes-match-3/ob14	unsat
datatypes-match-3/ob15	unsat
datatypes-match-3/ob16	unsat
divmod-real-1/ob01	timeout
divmod-real-1/ob02	unsat
divmod-real-1/ob03	unsat
divmod-real-1/ob04	unsat
divmod-real-1/ob05	unsat
divmod-real-1/ob06	timeout
divmod-real-1/ob07	unsat
divmod-real-1/ob08	unsat
divmod-real-1/ob09	unsat
divmod-real-1/ob10	unsat
divmod-real-2/ob01	unknown
divmod-real-2/ob02	unsat
divmod-real-2/ob03	unknown
divmod-real-2/ob04	unsat
divmod-real-2/ob05	unsat
divmod-real-2/ob06	unsat
divmod-real-2/ob07	unsat
divmod-real-2/ob08	unsat
divmod-real-2/ob09	unsat
divmod-real-2/ob10	unsat
divmod-real-3/ob01	unsat
divmod-real-3/ob02	unsat
divmod-real-3/ob03	unsat
divmod-real-3/ob04	unsat
divmod-real-3/ob05	unsat
divmod-real-3/ob06	timeout
divmod-real-3/ob07	unsat
divmod-real-3/ob08	unsat
fuel-recursion-1/ob01	unsat
fuel-recursion-1/ob02	unsat
fuel-recursion-1/ob03	unsat
fuel-recursion-1/ob04	unsat
fuel-recursion-1/ob05	unsat
fuel-recursion-1/ob06	unsat
fuel-recursion-1/ob07	unsat
fuel-recursion-1/ob08	unsat
fuel-recursion-1/ob09	unsat
fuel-recursion-1/ob10	unsat
fuel-recursion-1/ob11	unsat
fuel-recursion-1/ob12	unsat
fuel-recursion-1/ob13	unsat
fuel-recursion-1/ob14	unsat
fuel-recursion-2/ob01	unsat
fuel-recursion-2/ob02	unsat
fuel-recursion-2/ob03	unsat
fuel-recursion-2/ob04	unsat
fuel-recursion-2/ob05	unsat
fuel-recursion-2/ob06	unsat
fuel-recursion-2/ob07	unsat
fuel-recursion-2/ob08	unsat
fuel-recursion-2/ob09	unsat
fuel-recursion-2/ob10	unsat
fuel-recursion-2/ob11	unsat
fuel-recursion-2/ob12	unsat
fuel-recursion-2/ob13	unknown
fuel-recursion-2/ob14	unsat
fuel-recursion-2/ob15	unsat
fuel-recursion-2/ob16	unsat
fuel-recursion-3/ob01	unsat
fuel-recursion-3/ob02	unsat
fuel-recursion-3/ob03	unsat
fuel-recursion-3/ob04	unsat
fuel-recursion-3/ob05	unsat
fuel-recursion-3/ob06	unsat
fuel-recursion-3/ob07	unsat
fuel-recursion-3/ob08	unsat
fuel-recursion-3/ob09	unsat
fuel-recursion-3/ob10	unsat
fuel-recursion-3/ob11	unsat
fuel-recursion-3/ob12	unsat
fuel-recursion-3/ob13	unsat
fuel-recursion-3/ob14	unsat
fuel-recursion-3/ob15	unsat
fuel-recursion-3/ob16	unsat
fuel-recursion-3/ob17	unsat
fuel-recursion-3/ob18	unsat
linear-euf-1/ob01	unsat
linear-euf-1/ob02	unsat
linear-euf-1/ob03	unsat
linear-euf-1/ob04	unsat
linear-euf-1/ob05	unsat
linear-euf-1/ob06	unsat
linear-euf-1/ob07	unsat
linear-euf-2/ob01	unknown
linear-euf-2/ob02	unsat
linear-euf-2/ob03	unknown
linear-euf-2/ob04	unknown
linear-euf-2/ob05	unsat
linear-euf-2/ob06	unsat
linear-euf-2/ob07	unsat
linear-euf-2/ob08	unknown
linear-euf-2/ob09	unsat
linear-euf-2/ob10	unsat
linear-euf-3/ob01	unsat
linear-euf-3/ob02	unsat
linear-euf-3/ob03	unsat
linear-euf-3/ob04	unsat
linear-euf-3/ob05	unsat
linear-euf-3/ob06	unsat
linear-euf-3/ob07	unsat
linear-euf-3/ob08	unsat
nonlinear-1/ob01	unsat
nonlinear-2/ob01	unsat
nonlinear-2/ob02	unsat
nonlinear-2/ob03	unsat
nonlinear-2/ob04	unsat
nonlinear-2/ob05	unsat
nonlinear-2/ob06	unsat
nonlinear-2/ob07	unsat
nonlinear-2/ob08	unsat
nonlinear-2/ob09	unsat
nonlinear-3/ob01	unsat
nonlinear-3/ob02	unsat
nonlinear-3/ob03	unsat
nonlinear-3/ob04	unsat
nonlinear-3/ob05	unsat
nonlinear-3/ob06	unsat
seq-vstd-1/ob01	unsat
seq-vstd-1/ob02	unsat
seq-vstd-1/ob03	unknown
seq-vstd-1/ob04	unsat
seq-vstd-1/ob05	unsat
seq-vstd-1/ob06	unsat
seq-vstd-1/ob07	unsat
seq-vstd-1/ob08	unsat
seq-vstd-1/ob09	unsat
seq-vstd-1/ob10	unsat
seq-vstd-2/ob01	unsat
seq-vstd-2/ob02	unsat
seq-vstd-2/ob03	unsat
seq-vstd-2/ob04	unsat
seq-vstd-2/ob05	unknown
seq-vstd-2/ob06	unsat
seq-vstd-2/ob07	unknown
seq-vstd-2/ob08	unsat
seq-vstd-2/ob09	unsat
seq-vstd-2/ob10	unsat
seq-vstd-2/ob11	unsat
seq-vstd-3/ob01	unknown
seq-vstd-3/ob02	unsat
seq-vstd-3/ob03	timeout
seq-vstd-3/ob04	unsat
seq-vstd-3/ob05	timeout
seq-vstd-3/ob06	unsat
seq-vstd-3/ob07	unsat
seq-vstd-3/ob08	unsat
seq-vstd-3/ob09	unsat
seq-vstd-3/ob10	unsat
seq-vstd-3/ob11	unsat
abduct-boolean/ob01	unknown
abduct-boolean/ob02	unsat
